generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,74,1.1950327926227735e-05,1.411808105156088e-05,1.289161187830454e-05,4.980225409056218e-07
1,62,1.2210618763077085e-05,1.411808105156088e-05,1.2955118514317965e-05,4.7378985782358397e-07
2,74,1.2344213677475833e-05,1.411808105156088e-05,1.3054979765484022e-05,5.35385543313284e-07
3,66,1.2344213677475833e-05,1.411808105156088e-05,1.3129541811837447e-05,5.580836109415141e-07
4,69,1.2344213677475833e-05,1.4605579127858599e-05,1.3216996569444854e-05,6.019626974706522e-07
5,69,1.2197024886137583e-05,1.411808105156088e-05,1.326797066646776e-05,5.944414368102397e-07
6,68,1.2197024886137583e-05,1.411808105156088e-05,1.3331842370034615e-05,5.49306166943433e-07
7,78,1.2197024886137583e-05,1.411808105156088e-05,1.3384134106527128e-05,5.775044518399318e-07
8,60,1.2197024886137583e-05,1.411808105156088e-05,1.3414710302076292e-05,5.61352810421091e-07
9,58,1.2197024886137583e-05,1.411808105156088e-05,1.3450327920606987e-05,5.346338291668008e-07
10,66,1.2197024886137583e-05,1.411808105156088e-05,1.3431812241351219e-05,5.079779230818073e-07
11,69,1.2382570654021727e-05,1.411808105156088e-05,1.3468072917620073e-05,4.7538946955208036e-07
12,72,1.2382570654021727e-05,1.411808105156088e-05,1.3375135910435245e-05,4.5416970672976816e-07
13,70,1.2382570654021727e-05,1.411808105156088e-05,1.3379676003144814e-05,4.2741588722009554e-07
14,71,1.2382570654021727e-05,1.411808105156088e-05,1.3313637102775846e-05,4.3450828224509587e-07
15,67,1.2382570654021727e-05,1.411808105156088e-05,1.3400243494890248e-05,4.822924233769132e-07
16,74,1.2382570654021727e-05,1.411808105156088e-05,1.3375943992079353e-05,4.772204057042845e-07
17,64,1.2382570654021727e-05,1.411808105156088e-05,1.3412665747971679e-05,5.110054299002483e-07
18,72,1.2382570654021727e-05,1.411808105156088e-05,1.3507895963444083e-05,4.5073303003839684e-07
19,72,1.2382570654021727e-05,1.411808105156088e-05,1.3516447096233373e-05,4.31966072107921e-07
20,70,1.2382570654021727e-05,1.411808105156088e-05,1.350628685388661e-05,4.078080602349658e-07
21,75,1.2382570654021727e-05,1.411808105156088e-05,1.3518359434776224e-05,4.2079177972445314e-07
22,60,1.2382570654021727e-05,1.4396301193279545e-05,1.3578497513200326e-05,4.2107409173590277e-07
23,67,1.2382570654021727e-05,1.4396301193279545e-05,1.3492662851205533e-05,4.7253526359623675e-07
24,68,1.2382570654021727e-05,1.4538161896042257e-05,1.3544886703999599e-05,4.7422228446032646e-07
25,72,1.2382570654021727e-05,1.4538161896042257e-05,1.3473358319472402e-05,5.45256246904669e-07
26,68,1.2382570654021727e-05,1.4538161896042257e-05,1.353669634014182e-05,5.34662380351311e-07
27,74,1.2382570654021727e-05,1.4538161896042257e-05,1.3610161085223994e-05,5.797247337513705e-07
28,72,1.19953971640401e-05,1.4538161896042257e-05,1.3559318348097802e-05,5.955747830205027e-07
29,64,1.2382570654021727e-05,1.4538161896042257e-05,1.3690573005983397e-05,5.228750133105907e-07
30,71,1.266992839540327e-05,1.4538161896042257e-05,1.3780551231151994e-05,4.960528196193304e-07
31,64,1.2778524827121393e-05,1.4538161896042257e-05,1.382766559086038e-05,4.791214317741634e-07
32,74,1.2369598128249146e-05,1.4538161896042257e-05,1.3808210571452138e-05,5.617478320727422e-07
33,74,1.2369598128249146e-05,1.4538161896042257e-05,1.3780957330959332e-05,5.471389197164105e-07
34,70,1.2369598128249146e-05,1.4538161896042257e-05,1.3756177913422383e-05,5.987752443179696e-07
35,76,1.2369598128249146e-05,1.4538161896042257e-05,1.378715235617381e-05,6.092774186867403e-07
36,68,1.2369598128249146e-05,1.4538161896042257e-05,1.3955119019628745e-05,6.022408911559233e-07
37,66,1.2369598128249146e-05,1.4538161896042257e-05,1.3848865536274499e-05,5.873377556313339e-07
38,68,1.2369598128249146e-05,1.4538161896042257e-05,1.3750049691212317e-05,6.699461002272967e-07
39,62,1.2369598128249146e-05,1.4538161896042257e-05,1.3802590648720232e-05,6.374442693375586e-07
40,66,1.2369598128249146e-05,1.4538161896042257e-05,1.3735612671274018e-05,6.900935635990137e-07
41,68,1.2369598128249146e-05,1.4538161896042257e-05,1.3683644038035218e-05,6.568663653844496e-07
42,72,1.2369598128249146e-05,1.4538161896042257e-05,1.3807070888557741e-05,6.107380288736972e-07
43,72,1.2369598128249146e-05,1.4538161896042257e-05,1.3774112595625647e-05,6.54038440605091e-07
44,70,1.2369598128249146e-05,1.4538161896042257e-05,1.3787932128338612e-05,6.462328102872563e-07
45,68,1.2369598128249146e-05,1.4860385506821662e-05,1.3730641894174614e-05,7.088374920118501e-07
46,71,1.2369598128249146e-05,1.4860385506821662e-05,1.3884748144654355e-05,6.29937786993675e-07
47,62,1.2369598128249146e-05,1.4860385506821662e-05,1.3957097715130577e-05,6.322171538877435e-07
48,72,1.2369598128249146e-05,1.4860385506821662e-05,1.3959729388895271e-05,6.830024166245925e-07
49,71,1.2369598128249146e-05,1.4860385506821662e-05,1.4042993382571482e-05,6.440024483166348e-07
