generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,28,3.3933987999822235e-07,3.548841232267073e-07,3.466942754584369e-07,4.406310089731622e-09
1,34,3.3985171631113537e-07,3.548841232267073e-07,3.4750926571935226e-07,4.503337294890581e-09
2,27,3.4085707464287235e-07,3.548841232267073e-07,3.4683666630985326e-07,4.169087660113122e-09
3,28,3.4085707464287235e-07,3.548841232267073e-07,3.472006347158374e-07,4.84485802590027e-09
4,32,3.4085707464287235e-07,3.548841232267073e-07,3.481615269778324e-07,4.66429900130614e-09
5,40,3.4085707464287235e-07,3.5543022251613954e-07,3.4760308510497235e-07,5.1796342065324785e-09
6,34,3.4085707464287235e-07,3.5543022251613954e-07,3.4870880209793596e-07,4.4131193760619146e-09
7,30,3.4085707464287235e-07,3.5543022251613954e-07,3.48803109653462e-07,3.968701181022906e-09
8,36,3.4085707464287235e-07,3.5543022251613954e-07,3.4938659307187843e-07,3.926223372463755e-09
9,36,3.4085707464287235e-07,3.5543022251613954e-07,3.4915749037139556e-07,3.5156822411076176e-09
