generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,68,9.423658680832274e-05,0.00011588693491510744,0.00010296184163513023,5.250180900245771e-06
1,72,9.275241972864799e-05,0.00011588693491510744,0.00010267536235228605,4.887050225350478e-06
2,76,9.275241972864799e-05,0.00011588693491510744,0.00010340265267855737,5.012562242234991e-06
3,61,9.275241972864799e-05,0.00011588693491510744,0.00010340055503484193,4.811684107342552e-06
4,69,9.465777008074475e-05,0.0001129976879969044,0.00010415776864605325,4.341678748548159e-06
5,65,9.465777008074475e-05,0.0001129976879969044,0.00010428898240043237,3.992791733919445e-06
6,66,9.465777008074475e-05,0.00011067576555886648,0.00010449372518647763,4.047678828951865e-06
7,70,9.465777008074475e-05,0.00011067576555886648,0.00010524604633835216,3.4507816238789652e-06
8,65,9.974199398271124e-05,0.00011067576555886648,0.0001056218817992206,2.87840535321659e-06
9,68,9.974199398271124e-05,0.00011067576555886648,0.00010573917232822858,2.6631807872504313e-06
10,67,9.74190139714155e-05,0.00011067576555886648,0.00010579434452247538,2.58349507765971e-06
11,60,9.74190139714155e-05,0.00010907153880821635,0.0001060896336935272,2.3319846517164554e-06
12,64,9.996404890989856e-05,0.00010907153880821635,0.00010650826892063991,1.7331016086660553e-06
13,62,9.996404890989856e-05,0.00011421817489763818,0.00010665796389783794,2.0614959920797396e-06
14,54,9.996404890989856e-05,0.00011421817489763818,0.00010647325498984572,2.128753587731429e-06
15,72,9.73948009588243e-05,0.00011421817489763818,0.00010626684773848817,2.4734748920162784e-06
16,62,9.73948009588243e-05,0.00011421817489763818,0.00010628719195447707,2.5274006168361446e-06
17,76,9.73948009588243e-05,0.00011421817489763818,0.00010629575877380446,2.5213746109525323e-06
18,72,9.916211022959022e-05,0.00011421817489763818,0.00010657159822179422,2.405931843960003e-06
19,76,9.545812520959635e-05,0.00011421817489763818,0.00010657123660829245,2.8694726588049192e-06
20,71,9.545812520959635e-05,0.00011421817489763818,0.00010680219444894265,3.073363688447772e-06
21,70,0.00010323286160040664,0.00011421817489763818,0.00010725728359487678,3.082139249667461e-06
22,66,0.00010323286160040664,0.00011421817489763818,0.00010751365389295156,3.22307595055823e-06
23,58,0.00010323286160040664,0.00011421817489763818,0.0001079305578246294,3.6548134869472257e-06
24,76,0.00010323286160040664,0.00011421817489763818,0.00010796229429491497,3.9872792622181104e-06
25,73,0.00010323286160040664,0.00011421817489763818,0.0001074802561786353,3.781909726131638e-06
26,68,0.00010323286160040664,0.00011421817489763818,0.00010746516888012004,3.555758811563499e-06
27,70,9.982032981149234e-05,0.00011421817489763818,0.0001079245928890778,3.6118944828124602e-06
28,67,9.982032981149234e-05,0.00011421817489763818,0.00010820332793819614,3.639660563492902e-06
29,78,9.982032981149234e-05,0.00011421817489763818,0.00010837068837822731,3.6139022980836406e-06
30,72,9.982032981149234e-05,0.00011421817489763818,0.00010789983516750639,3.4849213384481956e-06
31,72,9.982032981149234e-05,0.00011421817489763818,0.00010776956744302248,3.303172464536638e-06
32,67,9.982032981149234e-05,0.00011421817489763818,0.00010802244500895082,3.5400357390680105e-06
33,70,9.766476401714616e-05,0.00011421817489763818,0.00010795046502078142,3.7942687376333183e-06
34,66,9.766476401714616e-05,0.00011421817489763818,0.00010770543525708309,4.195964028866439e-06
35,76,9.766476401714616e-05,0.00011421817489763818,0.0001077594124896488,4.238992875180502e-06
36,72,9.766476401714616e-05,0.00011421817489763818,0.00010810644724527868,3.755006810001992e-06
37,70,9.766476401714616e-05,0.00011421817489763818,0.00010780525929931909,4.164541481776981e-06
38,70,9.766476401714616e-05,0.00011421817489763818,0.00010735042404938428,4.422805231863524e-06
39,70,9.766476401714616e-05,0.00011421817489763818,0.00010715622794027894,4.099357182219886e-06
40,72,9.766476401714616e-05,0.00011421817489763818,0.00010715808466768713,4.005722314730566e-06
41,65,9.766476401714616e-05,0.00011787432824132311,0.0001079323174829285,3.5266286454977156e-06
42,74,9.982032981149234e-05,0.00011218326725509238,0.00010748415919393674,3.3383067990496227e-06
43,58,9.982032981149234e-05,0.00011218326725509238,0.00010797307773651119,3.2623666579128397e-06
44,72,9.889294258271715e-05,0.00011218326725509238,0.00010777292155735323,3.690105615584952e-06
45,76,9.889294258271715e-05,0.00011218326725509238,0.000108555819950477,3.699804033033576e-06
46,70,9.889294258271715e-05,0.00011218326725509238,0.00010811792023753485,3.834647054115865e-06
47,64,9.889294258271715e-05,0.00011218326725509238,0.00010846926118259844,3.922918090635802e-06
48,73,9.982032981149234e-05,0.00011218326725509238,0.00010878957794909516,3.7468503226792637e-06
49,74,9.982032981149234e-05,0.00011218326725509238,0.00010943216056189254,3.7487681902032803e-06
