generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,72,1.1455604957972639e-05,1.2691451261249626e-05,1.1963567778003013e-05,2.713659316401644e-07
1,64,1.1455604957972639e-05,1.2691451261249626e-05,1.1992099018497206e-05,2.889457660346661e-07
2,66,1.1577676248124311e-05,1.2691451261249626e-05,1.2037673828866636e-05,3.1607399308335104e-07
3,70,1.1577676248124311e-05,1.2691451261249626e-05,1.2094399063683548e-05,3.703800387991648e-07
4,76,1.1495623176550716e-05,1.2691451261249626e-05,1.2086810964937384e-05,3.93726098938615e-07
5,76,1.1577676248124311e-05,1.2691451261249626e-05,1.2165472626065188e-05,4.123795770558194e-07
6,62,1.1577676248124311e-05,1.2691451261249626e-05,1.2239346874299127e-05,4.2001233591660004e-07
7,64,1.1577676248124311e-05,1.2691451261249626e-05,1.230677076343225e-05,4.1450788035862857e-07
8,62,1.1577676248124311e-05,1.2691451261249626e-05,1.234951540638292e-05,4.3302746540168083e-07
9,72,1.1506311821482871e-05,1.2691451261249626e-05,1.2385710227414456e-05,4.2265566101672407e-07
10,69,1.1506311821482871e-05,1.2753980489794376e-05,1.2328197854317117e-05,4.642958801530744e-07
11,68,1.1577676248124311e-05,1.2753980489794376e-05,1.2346266545573728e-05,4.645801302814601e-07
12,70,1.1577676248124311e-05,1.2691451261249626e-05,1.2402042418064367e-05,4.192736073087091e-07
13,66,1.1577676248124311e-05,1.2691451261249626e-05,1.2527043922457103e-05,3.343177020083998e-07
14,69,1.1577676248124311e-05,1.2691451261249626e-05,1.2552249911639256e-05,3.2176060611390107e-07
15,60,1.1577676248124311e-05,1.2691451261249626e-05,1.2532977555353554e-05,3.451132500619578e-07
16,74,1.1577676248124311e-05,1.2691451261249626e-05,1.2557424266568207e-05,3.363851010821396e-07
17,60,1.1577676248124311e-05,1.2691451261249626e-05,1.2645920253960156e-05,1.9767261419576136e-07
18,62,1.1577676248124311e-05,1.2759204904744631e-05,1.2614270806775823e-05,2.448929954413729e-07
19,70,1.1577676248124311e-05,1.2691451261249626e-05,1.262983135925821e-05,2.2804668791092065e-07
20,62,1.1577676248124311e-05,1.2691451261249626e-05,1.2665548620545303e-05,1.5176449164155106e-07
21,70,1.188651409026034e-05,1.2691451261249626e-05,1.26731289411638e-05,9.749657138759121e-08
22,78,1.2351879252436124e-05,1.317551049265258e-05,1.2685175224616045e-05,7.725675729051219e-08
23,75,1.2351879252436124e-05,1.317551049265258e-05,1.2687833985515563e-05,6.82488919800912e-08
24,64,1.1991473664264845e-05,1.317551049265258e-05,1.2670961957716097e-05,1.4487670462687388e-07
25,68,1.1991473664264845e-05,1.317551049265258e-05,1.2669921643310866e-05,1.8203924550908096e-07
26,74,1.1991473664264845e-05,1.317551049265258e-05,1.2666243065147987e-05,1.7634717427046679e-07
27,64,1.1991473664264845e-05,1.317551049265258e-05,1.2706776956207216e-05,1.7688111611820205e-07
28,68,1.2155000162413046e-05,1.317551049265258e-05,1.2722012897573601e-05,1.7138675568615684e-07
29,67,1.2155000162413046e-05,1.317551049265258e-05,1.2693818119774466e-05,2.0648717872296726e-07
30,68,1.2155000162413046e-05,1.317551049265258e-05,1.2728684090274864e-05,2.0339169835894267e-07
31,68,1.2055116730718996e-05,1.317551049265258e-05,1.2715905200812133e-05,2.171485882000864e-07
32,69,1.2351879252436124e-05,1.317551049265258e-05,1.2710546280319464e-05,1.7174828153268097e-07
33,67,1.2046517221348737e-05,1.317551049265258e-05,1.2698624548055667e-05,1.8540189258748473e-07
34,64,1.2207231041720962e-05,1.317551049265258e-05,1.2707400506111098e-05,1.7297394629728886e-07
35,68,1.2207231041720962e-05,1.317551049265258e-05,1.2725524274481685e-05,2.0785376599496892e-07
36,74,1.1941167097054865e-05,1.317551049265258e-05,1.2713330086554134e-05,2.1999684778390886e-07
37,64,1.2209115975965827e-05,1.317551049265258e-05,1.279727442663682e-05,2.156651399077961e-07
38,68,1.2370353002839443e-05,1.317551049265258e-05,1.2792304853565452e-05,2.0466204223864947e-07
39,74,1.2308503540169886e-05,1.317551049265258e-05,1.2793753430668568e-05,2.1060419837569284e-07
40,72,1.2308503540169886e-05,1.317551049265258e-05,1.2791063509286422e-05,2.1325129881367446e-07
41,68,1.2343549768526812e-05,1.317551049265258e-05,1.276211349542712e-05,1.8742520432564695e-07
42,69,1.2343549768526812e-05,1.317551049265258e-05,1.2764245481103635e-05,2.0745305511709342e-07
43,60,1.2156529939886675e-05,1.317551049265258e-05,1.2752843548836249e-05,2.3332031886089593e-07
44,68,1.2156529939886675e-05,1.317551049265258e-05,1.2675268962836098e-05,1.7998337191115588e-07
45,66,1.2156529939886675e-05,1.317551049265258e-05,1.2667799003797113e-05,1.9939757852842333e-07
46,68,1.2156529939886675e-05,1.317551049265258e-05,1.2653626203995393e-05,1.5012714033911569e-07
47,65,1.202030613225674e-05,1.317551049265258e-05,1.2636047001164476e-05,1.4721618724871063e-07
48,69,1.1861497221463886e-05,1.317551049265258e-05,1.2592622463111382e-05,2.0131278956680388e-07
49,61,1.1861497221463886e-05,1.2691451261249626e-05,1.2612030295900407e-05,1.770922590630381e-07
