expected_job_id,runner_job_id,group,family,size,instance,stations,max_vehicles,instance_path,method,method_label,seed,job_dir,runner_path,result_path,checker_path,job_dir_present,runner_present,result_present,checker_present,runner_valid,result_valid,checker_valid,checker_fresh,checker_contract_valid,checker_strict_feasible,strict_feasible,run_status,completed,protocol_fingerprint,exit_code,timed_out,wall_runtime_seconds,distance,distance_source,result_status,failure_class,failure_stage,failure_detail,checker_failure_class,metric_warning
C-c101C5-pyvrp_repair-seed-0001,C-c101C5-pyvrp_repair-seed-0001,C,clustered,5,c101C5,3,2,,pyvrp_repair,PyVRP VRPTW + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pyvrp_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pyvrp_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pyvrp_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pyvrp_repair\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,true,true,feasible,true,303bb4300fe8e0756192f84517358c152a1713c8a2a27ed4482bbdbd20761e4a,0,false,10.249601,264.0,checker.report.total_distance,solved,,,,success,
C-c101C5-vns_ts-seed-0001,C-c101C5-vns_ts-seed-0001,C,clustered,5,c101C5,3,2,,vns_ts,Schneider hybrid VNS/TS,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\vns_ts\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\vns_ts\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\vns_ts\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\vns_ts\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,true,true,feasible,true,4746b003b5fd49d815e5d740b7b2621adfd48aead7545efc4a18d57579a16ae8,0,false,11.955139,259.0,checker.report.total_distance,solved,,,,success,
C-c101C5-pomo_repair-seed-0001,C-c101C5-pomo_repair-seed-0001,C,clustered,5,c101C5,3,2,,pomo_repair,POMO CVRP + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pomo_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pomo_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pomo_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pomo_repair\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,true,true,feasible,true,c7eebb3600e6d206398b9f3141f8a1f2f7c08438580d1040739f4d4d8db00245,0,false,2.474097,264.0,checker.report.total_distance,solved,,,,success,
C-c101C5-pyga_checked-seed-0001,C-c101C5-pyga_checked-seed-0001,C,clustered,5,c101C5,3,2,,pyga_checked,py-ga-VRPTW + shared checker,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pyga_checked\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pyga_checked\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pyga_checked\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pyga_checked\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,false,false,failed,true,8ebbd4de01a1a9b80bc41811bd5b2a821f2add34f57412ff499ca2e96662c5e6,0,false,0.422598,,,unsolved,infeasible,checker,checker_infeasible:energy_or_charging,checker_infeasible:energy_or_charging,
C-c101C5-routefinder_repair-seed-0001,C-c101C5-routefinder_repair-seed-0001,C,clustered,5,c101C5,3,2,,routefinder_repair,RouteFinder + fleet compaction + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\routefinder_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\routefinder_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\routefinder_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\routefinder_repair\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,true,true,feasible,true,cd75159e11289cfe4d8e1d79ec8d41c8170448ba381e9caed615df69621cdbc8,0,false,10.704121,259.0,checker.report.total_distance,solved,,,,success,
C-c101C10-pyvrp_repair-seed-0001,C-c101C10-pyvrp_repair-seed-0001,C,clustered,10,c101C10,5,4,,pyvrp_repair,PyVRP VRPTW + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pyvrp_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pyvrp_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pyvrp_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pyvrp_repair\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,true,true,feasible,true,2e522754e5696e4ead19b2c098fb8888d3a37e450a8c973755123b9604d899ad,0,false,10.333048,387.0,checker.report.total_distance,solved,,,,success,
C-c101C10-vns_ts-seed-0001,C-c101C10-vns_ts-seed-0001,C,clustered,10,c101C10,5,4,,vns_ts,Schneider hybrid VNS/TS,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\vns_ts\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\vns_ts\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\vns_ts\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\vns_ts\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,true,true,feasible,true,6799c83078d62c512c09f34b16db49a60434c10b8960bf93364ec102cd816502,0,false,77.285618,392.0,checker.report.total_distance,solved,,,,success,
C-c101C10-pomo_repair-seed-0001,C-c101C10-pomo_repair-seed-0001,C,clustered,10,c101C10,5,4,,pomo_repair,POMO CVRP + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pomo_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pomo_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pomo_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pomo_repair\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,false,false,failed,true,dd57e8724d2d9ae44556a33e358716034d857f2deda9dccc355a829519244575,0,false,3.229242,,,unsolved,missing,checker,checker_infeasible:coverage_missing,checker_infeasible:coverage_missing,
C-c101C10-pyga_checked-seed-0001,C-c101C10-pyga_checked-seed-0001,C,clustered,10,c101C10,5,4,,pyga_checked,py-ga-VRPTW + shared checker,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pyga_checked\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pyga_checked\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pyga_checked\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pyga_checked\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,false,false,failed,true,37d4be1c50bea74ade74e3b1a48a31f8814b67adb1ab3b913cb17b2fa7add1cf,0,false,0.361202,,,unsolved,infeasible,checker,checker_infeasible:fleet,checker_infeasible:fleet,
C-c101C10-routefinder_repair-seed-0001,C-c101C10-routefinder_repair-seed-0001,C,clustered,10,c101C10,5,4,,routefinder_repair,RouteFinder + fleet compaction + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\routefinder_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\routefinder_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\routefinder_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\routefinder_repair\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,true,true,feasible,true,121b0ad1101dd7fd1f21dae946d67f0f3de1aedfc0f3cf9daafceeaf67f51634,0,false,11.198115,424.0,checker.report.total_distance,solved,,,,success,
