C101_50

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
 
    0        40         50          0          0       1236          0
    1        45         68         10        912        967         90
    3        42         66         10         65        146         90
    7        40         66         20        170        225         90
    8        38         68         20        255        324         90
    9        38         70         10        534        605         90
   12        25         85         20        652        721         90
   13        22         75         30         30         92         90
   15        20         80         40        384        429         90
   16        20         85         40        475        528         90
   17        18         75         20         99        148         90
   19        15         80         10        278        345         90
   20        30         50         10         10         73         90
   21        30         52         20        914        965         90
   23        28         55         10        732        777         90
   24        25         50         10         65        144         90
   25        25         52         40        169        224         90
   27        23         52         10        261        316         90
   31        10         35         20        200        237         90
   32        10         40         30         31        100         90
   33         8         40         40         87        158         90
   35         5         35         10        283        344         90
   37         2         40         20        383        434         90
   38         0         40         30        479        522         90
   41        35         32         10        166        235         90
   44        32         30         10        359        412         90
   46        30         32         30        448        509         90
   47        30         35         10       1054       1127         90
   50        26         32         10        815        880         90
   51        25         30         10        725        786         90
   58        38          5         30        471        534         90
   60        35          5         20        562        629         90
   62        50         35         20        262        317         90
   64        48         30         10        632        693         90
   67        47         40         10         12         77         90
   69        45         35         10        916        969         90
   73        92         30         10        478        551         90
   76        90         35         10        203        260         90
   77        88         30         10        574        643         90
   78        88         35         20        109        170         90
   79        87         30         10        668        731         90
   80        85         25         10        769        820         90
   84        70         58         20        458        523         90
   85        68         60         30        555        612         90
   87        65         55         20         85        144         90
   88        65         60         30        645        708         90
   90        60         55         10         20         84         90
   92        67         85         20        368        441         90
   94        65         82         10        285        336         90
   95        62         80         30        196        239         90
   97        60         85         30        561        622         90
